Player,Team,PTS,AST,TRB
Jonathan Mogbo,TOR,6.2,2.3,4.9
Ryan Rollins,MIL,6.2,1.9,1.9
Dru Smith,MIA,6.2,1.6,2.6
Isaac Okoro,CLE,6.1,1.2,2.4
Jarace Walker,IND,6.1,1.5,3.1
N'Faly Dante,HOU,6.0,0.5,5.3
Mouhamed Gueye,ATL,6.0,0.8,4.2
Luke Kornet,BOS,6.0,1.6,5.3
Isaiah Mobley,PHI,6.0,5.0,4.0
Isaiah Stewart,DET,6.0,1.7,5.5
James Wiseman,IND,6.0,0.0,1.0
Isaiah Wong,CHO,6.0,1.4,1.6
Cole Swider,2TM,5.9,0.3,2.7
Cole Swider,DET,0.0,0.5,1.0
Cole Swider,TOR,7.4,0.3,3.1
Chuma Okeke,2TM,5.9,1.7,5.2
Chuma Okeke,PHI,6.9,1.9,6.1
Chuma Okeke,CLE,2.5,1.0,2.0
Kyle Anderson,2TM,5.9,2.4,3.4
Kyle Anderson,GSW,5.3,2.3,3.1
Kyle Anderson,MIA,6.7,2.6,3.8
Simone Fontecchio,DET,5.9,0.9,2.9
Collin Gillespie,PHO,5.9,2.4,2.4
Tidjane SalaÃ¼n,CHO,5.9,1.2,4.7
Jaylin Williams,OKC,5.9,2.6,5.6
Moses Brown,2TM,5.8,0.2,3.4
Moses Brown,IND,3.2,0.0,1.4
Moses Brown,DAL,11.8,0.5,7.8
Adem Bona,PHI,5.8,0.5,4.2
Quenton Jackson,IND,5.8,1.9,1.6
Robert Williams,POR,5.8,1.1,5.9
Moussa DiabatÃ©,CHO,5.7,0.8,6.2
Dariq Whitehead,BRK,5.7,0.6,1.5
Landry Shamet,NYK,5.7,0.5,1.2
Jordan Goodwin,LAL,5.6,1.4,3.9
Shake Milton,2TM,5.5,1.8,1.8
Shake Milton,BRK,7.4,2.4,1.9
Shake Milton,LAL,3.9,1.3,1.8
Aaron Holiday,HOU,5.5,1.3,1.3
Jeff Green,HOU,5.4,0.6,1.8
Jonathan Isaac,ORL,5.4,0.6,4.4
Dean Wade,CLE,5.4,1.3,4.2
Keaton Wallace,ATL,5.4,2.6,1.6
Kobe Bufkin,ATL,5.3,1.7,2.1
Jamal Cain,NOP,5.3,0.6,2.3
Pat Connaughton,MIL,5.3,1.7,2.7
Kevin Love,MIA,5.3,1.0,4.1
Ben Sheppard,IND,5.3,1.3,2.8
Monte Morris,PHO,5.2,1.6,1.5
Jabari Walker,POR,5.2,0.6,3.5
Javonte Green,2TM,5.1,0.8,3.2
Javonte Green,NOP,5.8,0.9,3.6
Javonte Green,CLE,3.3,0.6,2.2
Alex Reese,2TM,5.1,0.3,3.1
Alex Reese,OKC,2.0,0.0,1.0
Alex Reese,PHI,5.3,0.3,3.3
Bismack Biyombo,SAS,5.1,1.1,5.6
Mitchell Robinson,NYK,5.1,0.8,5.9
Kai Jones,2TM,5.0,0.6,3.1
Kai Jones,LAC,2.2,0.4,1.6
Kai Jones,DAL,11.4,1.3,6.6
Ben Simmons,2TM,5.0,5.6,4.7
Ben Simmons,BRK,6.2,6.9,5.2
Ben Simmons,LAC,2.9,3.1,3.8
Malaki Branham,SAS,5.0,0.8,1.1
Neemias Queta,BOS,5.0,0.7,3.8
Alondes Williams,DET,5.0,1.0,0.0
Jaylen Martin,2TM,4.9,1.1,2.8
Jaylen Martin,BRK,1.0,0.0,0.0
Jaylen Martin,WAS,5.8,1.3,3.4
Lindy Waters III,2TM,4.9,1.0,2.1
Lindy Waters III,GSW,5.5,1.1,2.5
Lindy Waters III,DET,3.4,0.7,1.0
Trevelin Queen,ORL,4.9,1.2,1.7
Jock Landale,HOU,4.8,0.9,3.3
Colin Castleton,3TM,4.7,1.1,4.7
Colin Castleton,MEM,1.4,0.0,0.9
Colin Castleton,TOR,7.2,1.6,6.9
Colin Castleton,PHI,6.0,2.0,7.4
Taylor Hendricks,UTA,4.7,0.7,5.0
David Roddy,3TM,4.6,1.1,2.5
David Roddy,ATL,4.5,1.1,2.6
David Roddy,PHI,6.0,1.0,3.0
David Roddy,HOU,4.3,0.7,1.7
Drew Eubanks,2TM,4.6,0.9,3.7
Drew Eubanks,UTA,5.8,1.2,4.5
Drew Eubanks,LAC,2.7,0.4,2.4
Pelle Larsson,MIA,4.6,1.2,1.7
Julian Phillips,CHI,4.6,0.5,2.1
Cody Williams,UTA,4.6,1.2,2.3
Rob Dillingham,MIN,4.5,2.0,1.0
Jett Howard,ORL,4.5,0.7,1.2
Kevon Looney,GSW,4.5,1.6,6.1
Mason Plumlee,PHO,4.5,1.8,6.1
Dalen Terry,CHI,4.5,1.3,1.7
Marvin Bagley III,2TM,4.4,0.4,2.7
Marvin Bagley III,WAS,4.9,0.4,2.9
Marvin Bagley III,MEM,3.6,0.3,2.3
Charles Bassey,SAS,4.4,0.5,4.2
Tony Bradley,IND,4.4,0.4,3.0
Reggie Jackson,PHI,4.4,1.5,1.4
Reed Sheppard,HOU,4.4,1.4,1.5
Lamar Stevens,MEM,4.4,0.5,2.2
Mo Bamba,2TM,4.3,0.6,4.5
Mo Bamba,LAC,4.6,0.6,4.3
Mo Bamba,NOP,2.5,0.5,6.3
Jevon Carter,CHI,4.3,1.1,1.1
Micah Potter,UTA,4.3,0.8,4.3
Terrence Shannon Jr. ,MIN,4.3,1.0,1.5
Daniel Theis,NOP,4.3,1.6,4.3
Torrey Craig,2TM,4.2,0.7,2.8
Torrey Craig,CHI,6.9,0.6,2.8
Torrey Craig,BOS,2.7,0.7,2.8
Wendell Moore Jr.,2TM,4.2,1.2,2.6
Wendell Moore Jr.,DET,3.2,1.2,2.2
Wendell Moore Jr.,CHO,5.4,1.2,3.2
Dominick Barlow,ATL,4.2,0.5,2.4
Kessler Edwards,DAL,4.2,1.1,2.9
Oso Ighodaro,PHO,4.2,1.2,3.6
Kris Murray,POR,4.2,1.0,2.6
Duop Reath,POR,4.2,0.6,2.0
Cam Spencer,MEM,4.2,1.4,1.2
Maxwell Lewis,2TM,4.1,0.7,2.0
Maxwell Lewis,LAL,0.6,0.3,0.3
Maxwell Lewis,BRK,5.3,0.8,2.5
Jaylen Clark,MIN,4.1,0.7,1.3
Caleb Houstan,ORL,4.1,0.6,1.3
Jordan Miller,LAC,4.1,0.9,1.6
Jalen Pickett,DEN,4.1,2.2,1.4
Paul Reed,DET,4.1,1.0,2.7
Gui Santos,GSW,4.1,1.4,3.1
Jarred Vanderbilt,LAL,4.1,1.1,5.1
Colby Jones,2TM,4.0,1.1,2.2
Colby Jones,SAC,1.1,0.3,1.0
Colby Jones,WAS,8.7,2.5,4.3
Nicolas Batum,LAC,4.0,1.1,2.8
Malachi Flynn,CHO,4.0,1.8,1.8
Ron Harper Jr.,DET,4.0,2.0,7.0
