player,team_code,pts_per_game,ast_per_game,trb_per_game,team_name,games_played,team_ppg,opponent_ppg,pace,offensive_rating,defensive_rating,net_rating,win_percentage,strength_of_schedule
Malik Beasley,DET,16.3,1.7,2.6,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Devin Vassell,SAS,16.3,2.9,4.0,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
Jordan Clarkson,UTA,16.2,3.7,3.2,Utah,82.0,111.9,121.2,100.0,111.2,120.5,-9.3,0.207,1.58
Paul George,PHI,16.2,4.3,5.3,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Jalen Suggs,ORL,16.2,3.7,4.0,Orlando,82.0,105.4,105.5,96.1,109.4,109.5,-0.1,0.5,-0.53
Bennedict Mathurin,IND,16.1,1.9,5.3,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42
Myles Turner,IND,15.6,1.5,6.5,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42
Christian Braun,DEN,15.4,2.6,5.2,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04
Jonathan Kuminga,GSW,15.3,2.2,4.6,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
Jared McCain,PHI,15.3,2.6,2.4,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Mark Williams,CHO,15.3,2.5,10.2,Charlotte,82.0,105.1,114.2,97.6,107.3,116.6,-9.3,0.232,0.21
Kelly Oubre Jr.,PHI,15.1,1.8,6.1,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Chet Holmgren,OKC,15.0,2.0,8.0,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52
Kyle Kuzma,WAS,15.2,2.5,5.8,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Kyle Kuzma,MIL,14.5,2.2,5.6,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Stephon Castle,SAS,14.7,4.1,3.7,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
Aaron Gordon,DEN,14.7,3.2,4.8,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04
P.J. Washington,DAL,14.7,2.3,7.8,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Quentin Grimes,DAL,10.2,2.1,3.8,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Quentin Grimes,PHI,21.9,4.5,5.2,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Josh Giddey,CHI,14.6,7.2,8.1,Chicago,82.0,117.8,119.4,102.7,114.3,115.8,-1.5,0.476,0.26
Jakob Poeltl,TOR,14.5,2.8,9.6,Toronto,82.0,110.9,115.2,99.7,110.5,114.8,-4.3,0.366,-0.1
Deandre Ayton,POR,14.4,1.6,10.2,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Gradey Dick,TOR,14.4,1.8,3.6,Toronto,82.0,110.9,115.2,99.7,110.5,114.8,-4.3,0.366,-0.1
Jerami Grant,POR,14.4,2.1,3.5,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Payton Pritchard,BOS,14.3,3.5,3.8,Boston,82.0,116.3,107.2,95.7,120.6,111.2,9.4,0.744,-1.07
Naz Reid,MIN,14.2,2.3,6.0,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17
Dyson Daniels,ATL,14.1,4.4,5.9,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Tre Mann,CHO,14.1,3.0,2.9,Charlotte,82.0,105.1,114.2,97.6,107.3,116.6,-9.3,0.232,0.21
Amen Thompson,HOU,14.1,3.8,8.2,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Fred VanVleet,HOU,14.1,5.6,3.7,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Dillon Brooks,HOU,14.0,1.7,3.7,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Tolu Smith,DET,14.0,0.0,8.0,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Klay Thompson,DAL,14.0,2.0,3.4,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Bobby Portis,MIL,13.9,2.1,8.4,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Tobias Harris,DET,13.7,2.2,5.9,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Josh Hart,NYK,13.6,5.9,9.6,New York,82.0,115.8,111.7,96.7,118.5,114.3,4.2,0.622,-1.05
Jarrett Allen,CLE,13.5,1.9,9.7,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Onyeka Okongwu,ATL,13.4,2.3,8.9,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Russell Westbrook,DEN,13.3,6.1,4.9,Denver,82.0,120.8,116.9,99.8,119.9,116.1,3.8,0.61,0.04
Naji Marshall,DAL,13.2,3.0,4.8,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Dennis Schröder,BRK,18.4,6.6,3.0,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Dennis Schröder,GSW,10.6,4.4,2.3,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
Dennis Schröder,DET,10.8,5.3,2.6,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Rui Hachimura,LAL,13.1,1.4,5.0,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18
Brook Lopez,MIL,13.0,1.8,5.0,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Alex Sarr,WAS,13.0,2.4,6.5,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Moritz Wagner,ORL,12.9,1.4,4.9,Orlando,82.0,105.4,105.5,96.1,109.4,109.5,-0.1,0.5,-0.53
Malcolm Brogdon,WAS,12.7,4.1,3.8,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Scoot Henderson,POR,12.7,5.1,3.0,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Keldon Johnson,SAS,12.7,1.6,4.8,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
D'Angelo Russell,LAL,12.4,4.7,2.8,LA Lakers,82.0,113.4,112.2,97.6,115.9,114.7,1.2,0.61,0.18
D'Angelo Russell,BRK,12.9,5.6,2.8,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Zaccharie Risacher,ATL,12.6,1.2,3.6,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Santi Aldama,MEM,12.5,2.9,6.4,Memphis,82.0,121.7,116.9,103.1,117.9,113.2,4.7,0.585,-0.24
Ty Jerome,CLE,12.5,3.4,2.5,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Keegan Murray,SAC,12.4,1.4,6.7,Sacramento,82.0,115.7,115.3,98.1,116.8,116.3,0.5,0.488,-0.18
Lonnie Walker IV,PHI,12.4,2.5,3.2,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Harrison Barnes,SAS,12.3,1.7,3.8,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
Bilal Coulibaly,WAS,12.3,3.4,5.0,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Ayo Dosunmu,CHI,12.3,4.5,3.5,Chicago,82.0,117.8,119.4,102.7,114.3,115.8,-1.5,0.476,0.26
Daniel Gafford,DAL,12.3,1.4,6.8,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Jaden McDaniels,MIN,12.2,2.0,5.7,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17
Jabari Smith Jr.,HOU,12.2,1.1,7.0,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Caris LeVert,CLE,10.2,3.7,2.8,Cleveland,82.0,121.9,112.4,99.8,121.8,112.2,9.6,0.78,-1.49
Caris LeVert,ATL,14.9,2.9,3.7,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Drew Timme,BRK,12.1,2.2,7.2,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Tari Eason,HOU,12.0,1.5,6.4,Houston,82.0,114.3,109.8,98.7,115.3,110.7,4.6,0.634,-0.01
Rudy Gobert,MIN,12.0,1.8,10.9,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17
Aaron Nesmith,IND,12.0,1.2,4.0,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42
Aaron Wiggins,OKC,12.0,1.8,3.9,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52
Khris Middleton,MIL,12.6,4.4,3.7,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Khris Middleton,WAS,10.7,3.4,3.7,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Jalen Duren,DET,11.8,2.7,10.3,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Donte DiVincenzo,MIN,11.7,3.6,3.7,Minnesota,82.0,114.3,109.3,97.3,116.6,111.5,5.1,0.598,-0.17
Brandin Podziemski,GSW,11.7,3.4,5.1,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
Corey Kispert,WAS,11.6,1.7,3.0,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Jeremy Sochan,SAS,11.4,2.4,6.5,San Antonio,82.0,113.9,116.7,99.3,114.5,117.2,-2.7,0.415,-0.16
Toumani Camara,POR,11.3,2.2,5.8,Portland,82.0,110.9,113.9,98.8,111.7,114.7,-3.0,0.439,1.22
Isaiah Hartenstein,OKC,11.2,3.8,10.7,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52
Buddy Hield,GSW,11.1,1.6,3.2,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
Jrue Holiday,BOS,11.1,3.9,4.3,Boston,82.0,116.3,107.2,95.7,120.6,111.2,9.4,0.744,-1.07
Walker Kessler,UTA,11.1,1.7,12.2,Utah,82.0,111.9,121.2,100.0,111.2,120.5,-9.3,0.207,1.58
Gary Trent Jr.,MIL,11.1,1.2,2.3,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Spencer Dinwiddie,DAL,11.0,4.4,2.6,Dallas,82.0,114.2,115.4,99.2,114.8,116.0,-1.2,0.476,-0.22
Tim Hardaway Jr.,DET,11.0,1.6,2.4,Detroit,82.0,115.5,113.6,99.8,115.0,113.1,1.9,0.537,-0.35
Duncan Robinson,MIA,11.0,2.4,2.3,Miami,82.0,110.6,110.0,96.2,113.5,112.9,0.6,0.451,-0.84
Guerschon Yabusele,PHI,11.0,2.1,5.6,Philadelphia,82.0,109.6,115.8,97.4,111.9,118.3,-6.4,0.293,-0.13
Brice Sensabaugh,UTA,10.9,1.5,3.0,Utah,82.0,111.9,121.2,100.0,111.2,120.5,-9.3,0.207,1.58
Bogdan Bogdanović,ATL,10.0,2.0,2.8,Atlanta,82.0,118.2,119.3,102.6,114.6,115.7,-1.1,0.488,-0.27
Bogdan Bogdanović,LAC,11.4,3.2,3.1,LA Clippers,82.0,112.9,108.2,97.4,115.1,110.3,4.8,0.61,0.03
Jordan Hawkins,NOP,10.8,1.2,2.8,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
Brandon Boston Jr.,NOP,10.7,2.2,3.2,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
Nikola Jović,MIA,10.7,2.8,3.9,Miami,82.0,110.6,110.0,96.2,113.5,112.9,0.6,0.451,-0.84
Grayson Allen,PHO,10.6,2.1,3.0,Phoenix,82.0,113.6,116.6,97.1,116.2,119.3,-3.1,0.439,0.32
Keon Johnson,BRK,10.6,2.2,3.8,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Terry Rozier,MIA,10.6,2.6,3.7,Miami,82.0,110.6,110.0,96.2,113.5,112.9,0.6,0.451,-0.84
Obi Toppin,IND,10.5,1.6,4.0,Indiana,82.0,117.4,115.1,99.9,116.5,114.3,2.2,0.61,-0.42
Jonas Valančiūnas,WAS,11.5,2.2,8.2,Washington,82.0,108.0,120.4,100.9,106.8,119.1,-12.3,0.22,1.57
Jonas Valančiūnas,SAC,8.7,1.8,7.0,Sacramento,82.0,115.7,115.3,98.1,116.8,116.3,0.5,0.488,-0.18
Ochai Agbaji,TOR,10.4,1.5,3.8,Toronto,82.0,110.9,115.2,99.7,110.5,114.8,-4.3,0.366,-0.1
Jaylen Wells,MEM,10.4,1.7,3.4,Memphis,82.0,121.7,116.9,103.1,117.9,113.2,4.7,0.585,-0.24
Grant Williams,CHO,10.4,2.3,5.1,Charlotte,82.0,105.1,114.2,97.6,107.3,116.6,-9.3,0.232,0.21
Kevin Porter Jr.,LAC,9.3,3.2,3.6,LA Clippers,82.0,112.9,108.2,97.4,115.1,110.3,4.8,0.61,0.03
Kevin Porter Jr.,MIL,11.7,3.7,3.9,Milwaukee,82.0,115.5,113.0,99.3,115.9,113.5,2.4,0.585,-0.25
Jose Alvarado,NOP,10.3,4.6,2.4,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
Nic Claxton,BRK,10.3,2.2,7.4,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Herbert Jones,NOP,10.3,3.3,3.9,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
De'Anthony Melton,GSW,10.3,2.8,3.3,Golden State,82.0,113.8,110.5,98.7,115.0,111.7,3.3,0.585,-0.04
Isaiah Joe,OKC,10.2,1.6,2.6,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52
Tyus Jones,PHO,10.2,5.3,2.4,Phoenix,82.0,113.6,116.6,97.1,116.2,119.3,-3.1,0.439,0.32
Trendon Watford,BRK,10.2,2.6,3.6,Brooklyn,82.0,105.1,112.2,96.4,108.5,115.8,-7.3,0.317,0.35
Keion Brooks Jr.,NOP,10.1,0.9,4.1,New Orleans,82.0,109.8,119.3,99.1,110.4,119.9,-9.5,0.256,1.66
Luguentz Dort,OKC,10.1,1.6,4.1,Oklahoma City,82.0,120.5,107.6,100.0,120.4,107.5,12.9,0.829,-0.52
